Branding and Model,Releasedate,Clock (GHz) Base,Cores (Threads),Cores,Threads,TDP
Ryzen 7 1800X,2017-03-02,3.6,8 (16),8,16,95.0
Ryzen 7 1700X,2017-03-02,3.4,8 (16),8,16,95.0
Ryzen 7 1700,2017-03-02,3.0,8 (16),8,16,65.0
Ryzen 5 1600X,2017-04-11,3.6,6 (12),6,12,95.0
Ryzen 5 1600,2017-04-11,3.2,6 (12),6,12,65.0
Ryzen 5 1500X,2017-04-11,3.5,4 (8),4,8,65.0
Ryzen 5 1400,2017-04-11,3.2,4 (8),4,8,65.0
Ryzen 3 1300X,2017-07-27,3.5,4 (4),4,4,65.0
Ryzen 3 1200,2017-07-27,3.1,4 (4),4,4,65.0
RyzenThreadripper 1950X,2017-08-31,3.4,16 (32),16,32,180.0
RyzenThreadripper 1920X,2017-08-31,3.5,12 (24),12,24,180.0
RyzenThreadripper 1900X,2017-08-31,3.8,8 (16),8,16,180.0
Ryzen 5 2400G,2018-02-12,3.6,4 (8),4,8,55.5
Ryzen 5 2400GE,2018-04-19,3.2,4 (8),4,8,35.0
Ryzen 3 2200G,2018-02-12,3.5,4 (4),4,4,55.5
Ryzen 3 2200GE,2018-04-19,3.2,4 (4),4,4,35.0
Ryzen 3 PRO 2100GE,2019-01-01,3.2,2 (4),2,4,35.0
Ryzen 7 2700X,2018-04-19,3.7,8 (16),8,16,105.0
Ryzen 7 2700,2018-04-19,3.2,8 (16),8,16,65.0
Ryzen 7 2700E,2018-09-19,2.8,8 (16),8,16,45.0
Ryzen 5 2600X,2018-04-19,3.6,6 (12),6,12,95.0
Ryzen 5 2600,2018-04-19,3.4,6 (12),6,12,65.0
Ryzen 5 2600E,2018-09-19,3.1,6 (12),6,12,45.0
Ryzen 5 1600 (AF),2019-10-11,3.2,6 (12),6,12,65.0
Ryzen 5 2500X,2018-09-10,3.6,4 (8),4,8,65.0
Ryzen 3 2300X,2018-09-10,3.5,4 (4),4,4,65.0
Ryzen 3 1200 (AF),2020-04-21,3.1,4 (4),4,4,65.0
RyzenThreadripper 2990WX,2018-08-13,3.0,32 (64),32,64,250.0
RyzenThreadripper 2970WX,2018-10-02,3.0,24 (48),24,48,250.0
RyzenThreadripper 2950X,2018-08-31,3.5,16 (32),16,32,180.0
RyzenThreadripper 2920X,2018-10-03,3.5,12 (24),12,24,180.0
Ryzen 5 Pro 3400G,2019-09-30,3.7,4 (8),4,8,55.0
Ryzen 5 3400G,2019-07-07,3.7,4 (8),4,8,55.0
Ryzen 5 Pro 3400GE,2019-09-30,3.3,4 (8),4,8,35.0
Ryzen 5 Pro 3350G,2020-07-21,3.6,4 (8),4,8,55.0
Ryzen 5 Pro 3350GE,2020-07-21,3.3,4 (4),4,4,35.0
Ryzen 3 Pro 3200G,2019-09-30,3.6,4 (4),4,4,55.0
Ryzen 3 3200G,2019-07-07,3.6,4 (4),4,4,55.0
Ryzen 3 Pro 3200GE,2019-09-30,3.3,4 (4),4,4,35.0
Ryzen 9 3950X,2019-11-25,3.5,16 (32),16,32,105.0
Ryzen 9 3900XT,2020-07-07,3.8,12 (24),12,24,105.0
Ryzen 9 3900X,2019-07-07,3.8,12 (24),12,24,105.0
Ryzen 9 3900,2019-10-08,3.1,12 (24),12,24,65.0
Ryzen 7 3800XT,2020-07-07,3.9,8 (16),8,16,105.0
Ryzen 7 3800X,2019-07-07,3.9,8 (16),8,16,105.0
Ryzen 7 3700X,2019-07-07,3.6,8 (16),8,16,65.0
Ryzen 5 3600XT,2020-07-07,3.8,6 (12),6,12,95.0
Ryzen 5 3600X,2019-07-07,3.8,6 (12),6,12,95.0
Ryzen 5 3600,2019-07-07,3.6,6 (12),6,12,65.0
Ryzen 5 3500X,2019-10-08,3.6,6 (6),6,6,65.0
Ryzen 5 3500,2019-11-15,3.6,6 (6),6,6,65.0
Ryzen 3 3300X,2020-04-21,3.8,4 (8),4,8,65.0
Ryzen 3 3100,2020-04-21,3.6,4 (8),4,8,65.0
RyzenThreadripperPRO 3995WX,2020-07-14,2.7,64 (128),64,128,280.0
RyzenThreadripperPRO 3975WX,2020-07-14,3.5,32 (64),32,64,280.0
RyzenThreadripperPRO 3955WX,2020-07-14,3.9,16 (32),16,32,280.0
RyzenThreadripperPRO 3945WX,2020-07-14,4.0,12 (24),12,24,280.0
RyzenThreadripper 3990X,2020-02-07,2.9,64 (128),64,128,280.0
RyzenThreadripper 3970X,2019-11-25,3.7,32 (64),32,64,280.0
RyzenThreadripper 3960X,2019-11-25,3.8,24 (48),24,48,280.0
Ryzen 5 4500,2022-04-04,3.6,6 (12),6,12,65.0
Ryzen 3 4100,2022-04-04,3.8,4 (8),4,8,65.0
Ryzen 7 4700G,2020-07-21,3.6,8 (16),8,16,65.0
Ryzen 7 4700GE,2020-07-21,3.1,8 (16),8,16,35.0
Ryzen 5 4600G,2020-07-21,3.7,6 (12),6,12,65.0
Ryzen 5 4600GE,2020-07-21,3.3,6 (12),6,12,35.0
Ryzen 3 4300G,2020-07-21,3.8,4 (8),4,8,65.0
Ryzen 3 4300GE,2020-07-21,3.5,4 (8),4,8,35.0
Ryzen 9 5950X,2020-11-05,3.4,16 (32),16,32,105.0
Ryzen 9 5900X,2020-11-05,3.7,12 (24),12,24,105.0
Ryzen 9 5900,2021-01-12,3.0,12 (24),12,24,65.0
Ryzen 7 5800X3D,2022-04-20,3.4,8 (16),8,16,105.0
Ryzen 7 5800X,2020-11-05,3.8,8 (16),8,16,105.0
Ryzen 7 5800,2021-01-12,3.4,8 (16),8,16,65.0
Ryzen 7 5700X,2022-04-04,3.4,8 (16),8,16,65.0
Ryzen 5 5600X,2020-11-05,3.7,6 (12),6,12,65.0
Ryzen 5 5600,2022-04-04,3.5,6 (12),6,12,65.0
Ryzen 5 5500,2022-04-04,3.6,6 (12),6,12,65.0
RyzenThreadripperPRO 5995WX,2022-03-08,2.7,64 (128),64,128,280.0
RyzenThreadripperPRO 5975WX,2022-03-08,3.6,32 (64),32,64,280.0
RyzenThreadripperPRO 5965WX,2022-03-08,3.8,24 (48),24,48,280.0
RyzenThreadripperPRO 5955WX,2022-03-08,4.0,16 (32),16,32,280.0
RyzenThreadripperPRO 5945WX,2022-03-08,4.1,12 (24),12,24,280.0
Ryzen 7 5700G,2021-04-13,3.8,8 (16),8,16,65.0
Ryzen 7 5700GE,2021-04-13,3.2,8 (16),8,16,35.0
Ryzen 5 5600G,2021-04-13,3.9,6 (12),6,12,65.0
Ryzen 5 5600GE,2021-04-13,3.4,6 (12),6,12,35.0
Ryzen 3 5300G,2021-04-13,4.0,4 (8),4,8,65.0
Ryzen 3 5300GE,2021-04-13,3.6,4 (8),4,8,35.0
Ryzen 9 7950X3D,2023-02-28,4.2,16 (32),16,32,120.0
Ryzen 9 7950X,2022-09-27,4.5,16 (32),16,32,170.0
Ryzen 9 7900X3D,2023-02-28,4.4,12 (24),12,24,120.0
Ryzen 9 7900X,2022-09-27,4.7,12 (24),12,24,170.0
Ryzen 9 7900,2023-01-10,3.7,12 (24),12,24,65.0
Ryzen 7 7800X3D,2023-04-06,4.2,8 (16),8,16,120.0
Ryzen 7 7700X,2022-09-27,4.5,8 (16),8,16,105.0
Ryzen 7 7700,2023-01-10,3.8,8 (16),8,16,65.0
Ryzen 5 7600X,2022-09-27,4.7,6 (12),6,12,105.0
Ryzen 5 7600,2023-01-10,3.8,6 (12),6,12,65.0
Ryzen 7 2800H,2018-09-10,3.3,4 (8),4,8,44.5
Ryzen 7 2700U,2017-10-26,2.2,4 (8),4,8,18.5
Ryzen 5 2600H,2018-09-10,3.2,4 (8),4,8,44.5
Ryzen 5 2500U,2017-10-26,2.0,4 (8),4,8,18.5
Ryzen 3 2300U,2018-01-08,2.0,4 (4),4,4,18.5
Ryzen 3 2200U,2018-01-08,2.5,2 (4),2,4,18.5
Ryzen 3 3250U,2020-01-06,2.6,2 (4),2,4,18.5
Ryzen 3 3250C,2020-09-22,2.6,2 (4),2,4,18.5
Ryzen 3 3200U,2019-01-06,2.6,2 (4),2,4,18.5
Ryzen 7 3780U,2019-10-01,2.3,4 (8),4,8,15.0
Ryzen 7 3750H,2019-01-06,2.3,4 (8),4,8,35.0
Ryzen 7 3700C,2020-09-22,2.3,4 (8),4,8,15.0
Ryzen 7 3700U,2019-01-06,2.3,4 (8),4,8,15.0
Ryzen 5 3580U,2019-10-01,2.1,4 (8),4,8,15.0
Ryzen 5 3550H,2019-01-06,2.1,4 (8),4,8,35.0
Ryzen 5 3500C,2020-09-22,2.1,4 (8),4,8,15.0
Ryzen 5 3500U,2019-01-06,2.1,4 (8),4,8,15.0
Ryzen 5 3450U,2020-06-01,2.1,4 (8),4,8,15.0
Ryzen 3 3350U,2019-01-06,2.1,4 (4),4,4,15.0
Ryzen 3 3300U,2019-01-06,2.1,4 (4),4,4,15.0
Ryzen 9 4900H,2020-03-16,3.3,8 (16),8,16,44.5
Ryzen 9 4900HS,2020-03-16,3.0,8 (16),8,16,35.0
Ryzen 7 4800H,2020-03-16,2.9,8 (16),8,16,44.5
Ryzen 7 4800HS,2020-03-16,2.9,8 (16),8,16,35.0
Ryzen 7 4980U,2021-04-13,2.0,8 (16),8,16,17.5
Ryzen 7 4800U,2020-03-16,1.8,8 (16),8,16,17.5
Ryzen 7 4700U,2020-03-16,2.0,8 (8),8,8,17.5
Ryzen 5 4600H,2020-03-16,3.0,6 (12),6,12,44.5
Ryzen 5 4600HS,2020-03-16,3.0,6 (12),6,12,35.0
Ryzen 5 4680U,2021-04-13,2.1,6 (12),6,12,17.5
Ryzen 5 4600U,2020-03-16,2.1,6 (12),6,12,17.5
Ryzen 5 4500U,2020-03-16,2.3,6 (6),6,6,17.5
Ryzen 3 4300U,2020-03-16,2.7,4 (4),4,4,17.5
Ryzen 7 5700U,2021-01-12,1.8,8 (16),8,16,17.5
Ryzen 5 5500U,2021-01-12,2.1,6 (12),6,12,17.5
Ryzen 3 5300U,2021-01-12,2.6,4 (8),4,8,17.5
Ryzen 5 7520U,2022-09-20,2.8,4 (8),4,8,11.5
Ryzen 3 7320U,2022-09-20,2.4,4 (8),4,8,11.5
Ryzen 9 5980HX,2021-01-12,3.3,8 (16),8,16,44.5
Ryzen 9 5980HS,2021-01-12,3.0,8 (16),8,16,35.0
Ryzen 9 5900HX,2021-01-12,3.3,8 (16),8,16,44.5
Ryzen 9 5900HS,2021-01-12,3.0,8 (16),8,16,35.0
Ryzen 7 5800H,2021-01-12,3.2,8 (16),8,16,44.5
Ryzen 7 5800HS,2021-01-12,2.8,8 (16),8,16,35.0
Ryzen 7 5825U,2022-01-04,2.0,8 (16),8,16,15.0
Ryzen 7 5800U,2021-01-12,1.9,8 (16),8,16,17.5
Ryzen 5 5600H,2021-01-12,3.3,6 (12),6,12,44.5
Ryzen 5 5600HS,2021-01-12,3.0,6 (12),6,12,35.0
Ryzen 5 5625U,2022-01-04,2.3,6 (12),6,12,15.0
Ryzen 5 5600U,2021-01-12,2.3,6 (12),6,12,17.5
Ryzen 5 5560U,2021-01-12,2.3,6 (12),6,12,17.5
Ryzen 3 5425U,2022-01-04,2.3,4 (8),4,8,15.0
Ryzen 3 5400U ,2021-01-12,2.7,4 (8),4,8,17.5
Ryzen 3 5125C,2022-05-05,3.0,2 (4),2,4,15.0
Ryzen 7 (PRO) 7730U,2023-01-04,2.0,8 (16),8,16,15.0
Ryzen 5 (PRO) 7530U,2023-01-04,2.0,6 (12),6,12,15.0
Ryzen 3 (PRO) 7330U,2023-01-04,2.3,4 (8),4,8,15.0
Ryzen 9 6980HX,2022-01-04,3.3,8 (16),8,16,45.0
Ryzen 9 6980HS,2022-01-04,3.3,8 (16),8,16,35.0
Ryzen 9 6900HX,2022-01-04,3.3,8 (16),8,16,45.0
Ryzen 9 6900HS,2022-01-04,3.3,8 (16),8,16,35.0
Ryzen 7 6800H,2022-01-04,3.2,8 (16),8,16,45.0
Ryzen 7 6800HS,2022-01-04,3.2,8 (16),8,16,35.0
Ryzen 7 6800U,2022-01-04,2.7,8 (16),8,16,21.5
Ryzen 5 6600H,2022-01-04,3.3,6 (12),6,12,45.0
Ryzen 5 6600HS,2022-01-04,3.3,6 (12),6,12,35.0
Ryzen 5 6600U,2022-01-04,2.9,6 (12),6,12,21.5
Ryzen 7 7735HS,2023-01-04,3.2,8 (16),8,16,44.5
Ryzen 7 7736U,2023-01-04,2.7,8 (16),8,16,21.5
Ryzen 7 7735U,2023-01-04,2.7,8 (16),8,16,28.0
Ryzen 5 7535HS,2023-01-04,3.3,6 (12),6,12,44.5
Ryzen 5 7535U,2023-01-04,2.9,6 (12),6,12,28.0
Ryzen 3 7335U,2023-01-04,3.0,4 (8),4,8,28.0
Ryzen 9 7940HS,2023-03-01,4.0,8 (16),8,16,44.5
Ryzen 7 7840HS,2023-03-01,3.8,8 (16),8,16,44.5
Ryzen 5 7640HS,2023-03-01,4.3,6 (12),6,12,44.5
Ryzen 9 7945HX,2023-02-01,2.5,16 (32),16,32,65.0
Ryzen 9 7845HX,2023-02-01,3.0,12 (24),12,24,60.0
Ryzen 7 7745HX,2023-02-01,3.6,8 (16),8,16,60.0
Ryzen 5 7645HX,2023-02-01,4.0,6 (12),6,12,60.0
